visit_id,species,visit_start,visit_end,duration_seconds,max_count_seen
d2dfa825-d90d-4a9a-9822-005beffa29f5,bird,2026-05-26 14:35:46,2026-05-26 14:35:46,0.0,1
f38bb0c9-bb4b-46b9-aaf7-627d59fcacf5,elephant,2026-05-26 14:36:00,2026-05-26 14:36:00,0.86,2
cd427c21-9134-45ba-a770-13df857350e0,antelope_like,2026-05-26 14:35:28,2026-05-26 14:36:41,72.81,2
04d8f1d4-8fb4-4ef5-b581-4c830e5cc685,elephant,2026-05-26 14:36:52,2026-05-26 14:36:52,0.0,1
ed6b78e5-b323-436a-92df-47bc234c1e7e,bird,2026-05-26 14:37:17,2026-05-26 14:37:28,10.59,1
6b0ebd72-4d66-48be-962a-825b6568fafe,bird,2026-05-26 14:38:35,2026-05-26 14:38:47,12.15,1
9408ea49-871d-4dd4-a905-b18dfc4be6c2,ungulate,2026-05-26 14:38:52,2026-05-26 14:38:53,0.42,1
1edd21aa-047d-4a8a-b95c-124f18f8c293,bird,2026-05-26 14:39:21,2026-05-26 14:39:26,5.07,1
9b8746f1-c783-4f16-94cb-6a49cc76e3f1,bird,2026-05-26 14:39:44,2026-05-26 14:39:44,0.07,1
698fd9e8-8205-4e06-8d09-3b1d15008b1a,ungulate,2026-05-26 14:40:38,2026-05-26 14:40:38,0.0,1
e0dd32ea-e4bb-4a29-ade1-196e1575983f,bird,2026-05-26 14:41:55,2026-05-26 14:41:58,2.9,1
69408931-5c7a-43fe-88d6-e7f6ca627bce,antelope_like,2026-05-26 14:36:51,2026-05-26 14:44:35,464.02,2
045c54b5-af10-459b-b61e-017f65872ccf,antelope_like,2026-05-26 14:50:31,2026-05-26 14:52:27,116.1,1
436cdb14-bd03-4a43-abf5-1135c2d52bd7,antelope_like,2026-05-26 15:10:32,2026-05-26 15:13:42,189.67,3
eba309a9-a234-44d2-b35e-bf2f40431925,bird,2026-05-26 17:00:38,2026-05-26 17:01:05,27.54,1
8f059ea2-4389-487a-869f-5ece1a335ba2,giraffe,2026-05-26 17:01:10,2026-05-26 17:01:10,0.09,1
